                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4717,                  4.763,                 2.9691,                  2.774,                0.42904,                0.48143,                0.38561,                0.11946,                0.00162,                0.00286,                0.00072,                0.00012,                  2.397,                 1.9831,                 2.2456,                 2.4217,                0.00034,                0.00034,                0.00034
                      1,                 2.1302,                 2.1079,                 1.2486,                 1.8174,                0.41563,                0.53248,                0.41292,                0.18095,                      0,                      0,                      0,                      0,                 1.6945,                 2.5538,                 2.3176,                 1.8236,              0.0006538,              0.0006538,              0.0006538
                      2,                 1.7939,                 1.9649,                  1.066,                 1.6392,                0.45039,                0.43542,                0.44903,                0.22311,                0.00085,                0.00127,                0.00026,                  4e-05,                  1.527,                 2.4745,                 2.0333,                 1.6069,             0.00092008,             0.00092008,             0.00092008
                      3,                 1.6772,                 1.8401,                 1.0247,                 1.5862,                0.44424,                0.47636,                0.44515,                0.22277,                0.00542,                 0.0054,                0.00182,                0.00026,                 1.6266,                 1.9134,                 1.2638,                 1.6647,              0.0011388,              0.0011388,              0.0011388
                      4,                 1.5598,                 1.7648,                0.95096,                 1.5456,                0.37544,                0.49762,                0.38572,                 0.1783,                0.00659,                 0.0073,                0.00209,                0.00037,                 1.6995,                  1.923,                 1.5947,                 1.7705,              0.0013101,              0.0013101,              0.0013101
                      5,                 1.5496,                  1.574,                 1.1396,                 1.5967,                0.46074,                0.48842,                0.41363,                0.22403,                0.00149,                0.00222,                0.00051,                  7e-05,                 1.4727,                 1.5887,                 2.0274,                 1.8277,                0.00134,                0.00134,                0.00134
                      6,                 1.3861,                 1.4675,                0.91069,                 1.5391,                0.63657,                 0.5173,                0.55598,                0.31423,                0.00876,                0.00349,                0.00101,                0.00016,                 1.3802,                 1.6547,                 1.3174,                 1.6714,                0.00134,                0.00134,                0.00134
                      7,                 1.3008,                 1.3707,                0.82492,                 1.5274,                0.70367,                0.50524,                0.57305,                0.34604,                0.03597,                0.01238,                0.00356,                0.00074,                 1.1619,                 1.3117,                0.93555,                 1.4845,               0.001208,               0.001208,               0.001208
                      8,                 1.2246,                  1.333,                0.75338,                 1.4654,                0.70968,                0.49882,                0.59927,                0.34867,                0.04269,                0.02729,                0.00806,                0.00163,                 1.1732,                 1.2401,                0.82947,                 1.5385,               0.001076,               0.001076,               0.001076
                      9,                 1.2158,                 1.3435,                0.73144,                 1.4554,                0.70827,                0.51127,                0.58986,                0.35697,                0.05183,                0.02507,                 0.0082,                0.00148,                 1.1428,                 1.1987,                0.83288,                 1.4596,               0.000944,               0.000944,               0.000944
                     10,                 1.1842,                 1.3525,                0.70768,                 1.4438,                0.78948,                0.51891,                0.62262,                0.39297,                0.03302,                0.01365,                0.00582,                 0.0011,                 1.1441,                  1.168,                0.78804,                 1.4469,               0.000812,               0.000812,               0.000812
                     11,                 1.0968,                 1.2622,                0.64082,                 1.4038,                0.72776,                0.49921,                0.61671,                 0.3906,                0.07706,                 0.0292,                0.01475,                0.00296,                 1.0537,                  1.101,                0.65262,                 1.4428,                0.00068,                0.00068,                0.00068
                     12,                 1.0687,                 1.2086,                0.62327,                 1.3909,                0.77157,                0.46842,                0.58822,                0.37835,                0.04772,                0.02793,                0.01439,                0.00246,                0.96538,                   1.12,                0.58226,                 1.3905,               0.000548,               0.000548,               0.000548
                     13,                 1.0488,                 1.1783,                 0.6099,                 1.3872,                0.81577,                0.46654,                0.60816,                0.39654,                0.07025,                0.02634,                0.01959,                0.00475,                0.94575,                 1.0635,                 0.5597,                 1.3662,               0.000416,               0.000416,               0.000416
                     14,                  1.023,                 1.1797,                0.58354,                 1.3651,                0.80957,                  0.483,                0.62832,                0.40764,                0.08576,                 0.0365,                0.02176,                0.00723,                0.95738,                  1.027,                 0.5486,                 1.3666,               0.000284,               0.000284,               0.000284
